ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
LQDA,2026-05-12 11:00,LQDA|2026-05-12 11:00,BOTH,VWAP,14.878,52.3,-0.6054,0.6339,0.001,0.462,2.439,3.126,51.8928,0.78,0.853,0.2338,-0.0189,0.0,0.138,0.785,True,True,True,True,False,False,True,False,False,False,UNKNOWN
ILMN,2026-05-12 10:30,ILMN|2026-05-12 10:30,CONTINUATION,1stPB,14.184,144.875,0.1559,0.2854,0.819,1.336,1.644,1.669,144.6527,0.15,0.941,0.0417,0.0135,0.0341,0.0,0.288,True,True,True,True,False,False,False,False,True,False,BIOTECH
ROIV,2026-05-12 10:30,ROIV|2026-05-12 10:30,STRONG_CONT,1stPB,14.104,29.795,0.5357,0.5641,0.873,1.193,1.414,1.095,29.5582,0.8,1.226,0.0469,0.031,0.0,0.019,0.558,True,True,True,True,False,False,False,False,True,False,UNKNOWN
HBM,2026-05-12 11:00,HBM|2026-05-12 11:00,SQUEEZE_POP,NR7,13.258,25.355,0.0045,-0.7289,-3.282,2.05,2.697,2.251,25.8573,-1.94,2.015,0.0249,0.0171,0.0,0.099,0.88,True,True,False,False,False,False,False,False,False,False,UNKNOWN
PAAS,2026-05-12 11:00,PAAS|2026-05-12 11:00,SQUEEZE_POP,NR7,8.285,60.5475,0.1411,-0.705,-2.629,1.144,1.483,0.839,61.7212,-1.9,2.394,0.0366,0.0002,0.0,0.035,0.92,True,True,False,False,False,False,False,False,False,False,UNKNOWN
