ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
ILMN,2026-06-01 14:00,ILMN|2026-06-01 14:00,BOTH,PMH,12.278,163.79,-0.4218,0.4655,0.931,0.832,1.491,1.362,162.7299,0.65,1.342,-0.0066,0.0075,0.01,0.28,0.693,True,True,True,True,False,False,False,True,False,False,BIOTECH
DAVE,2026-06-01 13:30,DAVE|2026-06-01 13:30,STRONG_CONT,1stPB,11.069,287.86,0.1246,0.6511,0.248,0.528,1.714,1.655,282.8841,1.76,0.913,0.0126,-0.0013,0.0,0.13,0.154,True,True,True,True,False,False,False,False,True,False,UNKNOWN
AMD,2026-06-01 13:30,AMD|2026-06-01 13:30,BOTH,1stPB,9.941,513.4,-0.4935,0.8213,0.361,0.559,1.094,1.21,502.4694,2.18,0.466,-0.0125,0.0147,-0.0208,0.155,0.304,True,True,True,True,False,False,False,False,True,False,SEMIS
