ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
RELY,2026-05-04 10:00,RELY|2026-05-04 10:00,STRONG_CONT,ORB,15.864,23.51,0.2115,0.5986,0.657,1.356,1.746,2.319,23.2378,1.17,1.584,0.0652,0.0329,0,0.143,0.857,True,True,True,True,False,True,False,False,False,False,UNKNOWN
MYRG,2026-05-04 10:30,MYRG|2026-05-04 10:30,CONTINUATION,1stPB,12.96,458.99,0.5813,0.1092,0.093,1.044,1.228,1.921,452.5346,1.43,1.589,0.1321,0.0402,0,0.323,0.677,True,True,True,True,False,False,False,False,True,False,UNKNOWN
SNPS,2026-05-04 10:00,SNPS|2026-05-04 10:00,CONTINUATION,PMH,12.786,496.285,0.4037,0.3834,1.932,1.466,0.662,0.788,493.4068,0.58,1.665,0.0195,0.0058,0,0.133,0.746,True,True,True,True,False,False,False,True,False,False,UNKNOWN
STRL,2026-05-04 10:30,STRL|2026-05-04 10:30,SQUEEZE_POP,"BOX, NR7",9.72,542.345,-0.5384,-0.1697,-0.048,1.001,1.317,1.339,538.1151,0.79,2.09,0.0342,0.0078,0,0.495,0.429,True,True,True,True,True,False,False,False,False,False,UNKNOWN
ON,2026-05-04 10:30,ON|2026-05-04 10:30,SQUEEZE_POP,NR7,8.398,103.25,-0.0071,-0.6602,-0.861,1.461,1.104,1.039,103.923,-0.65,1.241,0.0144,-0.0162,0,0.252,0.408,True,True,True,False,False,False,False,False,False,False,UNKNOWN
S,2026-05-04 12:00,S|2026-05-04 12:00,BOTH,HH,16.919,15.325,-0.228,0.8011,1.66,1.639,2.72,1.214,15.1929,0.87,1.178,0.0597,0.0329,0,0.167,0.4,True,True,True,True,True,False,False,False,False,False,UNKNOWN
STRL,2026-05-04 12:30,STRL|2026-05-04 12:30,BOTH,1stPB,13.765,540.63,-0.1905,0.7287,0.736,0.79,1.457,1.439,538.3058,0.43,0.715,0.0339,0.0118,0,0.113,0.687,True,True,True,True,False,False,False,False,True,False,UNKNOWN
COLB,2026-05-04 12:00,COLB|2026-05-04 12:00,SQUEEZE_POP,NR7,11.039,29.07,0.0539,-0.5787,-5.541,6.078,9.49,1.58,29.2415,-0.59,1.798,-0.0225,-0.0035,0,0.043,0.936,True,True,False,False,False,False,False,False,False,False,UNKNOWN
ASX,2026-05-04 12:00,ASX|2026-05-04 12:00,SQUEEZE_POP,NR7,10.589,32.03,-0.7403,0.1941,-0.831,2.424,3.74,1.31,32.3943,-1.12,1.587,0.0112,-0.0074,0,0.235,0.404,True,True,False,False,False,False,False,False,False,False,UNKNOWN
SNPS,2026-05-04 12:00,SNPS|2026-05-04 12:00,SQUEEZE_POP,NR7,9.511,493.275,0.0956,0.0261,0.968,1.354,1.423,0.971,493.5621,-0.06,1.243,0.0064,0.0053,0,0.293,0.015,True,True,True,False,False,False,False,False,False,False,UNKNOWN
ON,2026-05-04 12:00,ON|2026-05-04 12:00,SQUEEZE_POP,NR7,8.06,101.84,-0.5084,0.0089,-1.091,1.389,2.124,1.045,103.3489,-1.46,1.425,0.0088,-0.0227,0,0.031,0.693,True,True,False,False,False,False,False,False,False,False,UNKNOWN
STM,2026-05-04 12:00,STM|2026-05-04 12:00,SQUEEZE_POP,NR7,7.956,54.89,-0.3274,0.1717,-0.613,1.473,2.114,0.876,55.5005,-1.1,1.304,-0.0091,-0.019,0,0.026,0.658,True,True,False,False,False,False,False,False,False,False,UNKNOWN
IBKR,2026-05-04 12:00,IBKR|2026-05-04 12:00,SQUEEZE_POP,NR7,7.28,81.085,-0.2495,0.0187,-1.123,1.112,1.167,0.814,81.424,-0.42,1.439,0.011,0.0076,0,0.064,0.73,True,True,False,False,False,False,False,False,False,False,UNKNOWN
LITE,2026-05-04 14:00,LITE|2026-05-04 14:00,STRONG_CONT,"ORB, PMH, HH",17.323,1001.37,0.5909,0.8597,1.535,1.15,2.044,1.051,975.2989,2.67,0.541,0.0311,0.0191,0,0.05,0.894,True,True,True,True,True,True,False,True,False,False,UNKNOWN
CECO,2026-05-04 14:00,CECO|2026-05-04 14:00,SQUEEZE_POP,NR7,13.889,76.53,0.7525,-0.4245,-3.109,1.492,2.198,2.736,76.422,0.14,1.189,0.048,-0.0122,0,0.105,0.895,True,True,True,True,False,False,False,False,False,False,UNKNOWN
LUMN,2026-05-04 14:00,LUMN|2026-05-04 14:00,STRONG_CONT,1stPB,12.263,9.335,0.1437,0.9474,0.782,0.707,0.933,1.247,9.1591,1.92,0.821,0.021,0.0291,0,0.0,0.909,True,True,True,True,False,False,False,False,True,False,UNKNOWN
CNC,2026-05-04 14:00,CNC|2026-05-04 14:00,SQUEEZE_POP,"VWAP, NR7",11.826,53.71,0.1998,0.0667,1.486,0.766,0.646,0.618,53.4992,0.39,1.173,0.0103,0.0174,0,0.0,0.892,True,True,True,True,False,False,True,False,False,False,UNKNOWN
STRL,2026-05-04 14:30,STRL|2026-05-04 14:30,CONTINUATION,1stPB,10.365,542.52,0.6051,-0.2275,-0.021,0.522,0.987,1.459,539.8305,0.5,0.461,0.0445,0.0141,0,0.42,0.032,True,True,True,True,False,False,False,False,True,False,UNKNOWN
