ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
ON,2026-04-29 10:00,ON|2026-04-29 10:00,REVERSAL,"ORB, VWAP, PMH, HH",20.165,100.78,-0.0011,0.2601,3.888,2.09,1.509,1.21,99.4566,1.33,1.828,0.0314,0.0106,0.0,0.011,0.952,True,True,True,True,True,True,True,True,False,False,UNKNOWN
STM,2026-04-29 10:00,STM|2026-04-29 10:00,BOTH,ORB,17.36,53.02,-0.5621,0.7993,1.808,2.396,1.424,1.179,52.2566,1.46,2.214,0.0615,0.0246,0.0,0.152,0.755,True,True,True,True,False,True,False,False,False,False,UNKNOWN
AMD,2026-04-29 10:30,AMD|2026-04-29 10:30,STRONG_CONT,"ORB, HH",15.646,332.79,0.1052,0.7766,2.297,2.065,1.555,0.991,326.3337,1.98,1.934,-0.0096,0.016,-0.0042,0.084,0.834,True,True,False,True,True,True,False,False,False,False,SEMIS
CSTM,2026-04-29 10:30,CSTM|2026-04-29 10:30,SQUEEZE_POP,NR7,14.193,33.0,0.4585,-0.41,-1.072,1.247,2.247,2.315,32.862,0.42,1.276,0.0581,0.0578,0.0,0.712,0.076,True,True,True,True,False,False,False,False,False,False,UNKNOWN
BPOP,2026-04-29 10:30,BPOP|2026-04-29 10:30,SQUEEZE_POP,NR7,8.886,149.32,0.0817,-0.0085,-3.036,2.033,2.49,1.19,149.817,-0.33,1.808,-0.003,-0.0069,0.0,0.111,0.889,True,True,False,False,False,False,False,False,False,False,UNKNOWN
