ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
ON,2026-04-23 10:30,ON|2026-04-23 10:30,BOTH,"ORB, HH",21.794,98.04,0.0188,0.765,2.559,1.753,2.372,3.508,96.0072,2.12,1.439,0.1116,0.0534,0,0.0,0.493,True,True,True,True,True,True,False,False,False,False,UNKNOWN
NBIS,2026-04-23 10:30,NBIS|2026-04-23 10:30,STRONG_CONT,"ORB, HH, BOX, NR7",19.83,165.5,0.2488,0.9482,3.171,2.478,1.545,0.76,160.5455,3.09,2.377,0.0234,0.0586,0,0.012,0.981,True,True,True,True,True,True,False,False,False,False,UNKNOWN
NVTS,2026-04-23 10:30,NVTS|2026-04-23 10:30,CONTINUATION,"VWAP, PMH, BOX, NR7",19.061,18.88,0.1289,0.4268,1.638,0.891,1.665,2.075,18.5148,1.97,1.341,0.191,0.0418,0,0.06,0.723,True,True,True,True,True,False,True,True,False,False,UNKNOWN
VLY,2026-04-23 10:00,VLY|2026-04-23 10:00,CONTINUATION,"VWAP, PMH, BOX",17.717,13.69,0.0648,0.0403,1.716,1.788,3.011,5.63,13.6142,0.56,2.733,0.0027,-0.0014,0,0.0,0.731,True,True,True,True,True,False,True,True,False,False,UNKNOWN
LUMN,2026-04-23 10:30,LUMN|2026-04-23 10:30,BOTH,"ORB, PMH, HH, BOX, NR7",17.553,9.465,0.0238,0.416,0.917,1.029,1.831,1.726,9.2868,1.92,1.3,0.0681,0.0247,0,0.143,0.857,True,True,True,True,True,True,False,True,False,False,UNKNOWN
BPOP,2026-04-23 10:30,BPOP|2026-04-23 10:30,BOTH,"1stPB, NR7",12.583,151.49,0.0476,0.4009,0.734,0.953,1.629,1.352,149.8702,1.08,1.795,0.0018,-0.0041,0,0.234,0.477,True,True,True,True,False,False,False,False,True,False,UNKNOWN
CPAY,2026-04-23 10:30,CPAY|2026-04-23 10:30,BOTH,NR7,11.205,316.95,0.0058,0.5418,0.47,1.643,2.031,2.129,315.9843,0.31,1.151,-0.0578,-0.0396,0,0.174,0.12,True,True,False,True,False,False,False,False,False,False,UNKNOWN
CPRX,2026-04-23 12:00,CPRX|2026-04-23 12:00,BOTH,"HH, NR7",18.832,26.55,-0.0062,0.3798,4.142,4.121,1.8,1.576,26.2357,1.2,1.938,0.0222,0.0189,0,0.0,1.0,True,True,True,True,True,False,False,False,False,False,UNKNOWN
STM,2026-04-23 12:00,STM|2026-04-23 12:00,STRONG_CONT,1stPB,17.133,51.06,0.5594,0.8394,0.564,0.795,2.564,2.442,49.8835,2.36,0.959,0.1309,0.0582,0,0.108,0.554,True,True,True,True,False,False,False,False,True,False,UNKNOWN
