ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
NBIS,2026-05-13 10:30,NBIS|2026-05-13 10:30,SQUEEZE_POP,NR7,17.296,208.675,0.2111,0.1999,0.807,2.067,2.046,2.694,204.2412,2.17,1.212,0.1287,0.0185,0,0.394,0.497,True,True,True,True,False,False,False,False,False,False,UNKNOWN
BAK,2026-05-13 10:30,BAK|2026-05-13 10:30,CONTINUATION,1stPB,17.118,5.3006,-0.3704,0.1031,0.047,2.098,5.806,3.536,5.2128,1.68,1.328,0.4205,0.0744,0,0.484,0.439,True,True,True,True,False,False,False,False,True,False,UNKNOWN
ON,2026-05-13 10:30,ON|2026-05-13 10:30,BOTH,"ORB, HH",16.776,114.55,-0.0734,0.385,0.739,2.07,1.834,1.814,112.5457,1.78,1.115,0.0852,0.0467,0,0.354,0.425,True,True,True,True,True,True,False,False,False,False,UNKNOWN
ATI,2026-05-13 11:00,ATI|2026-05-13 11:00,SQUEEZE_POP,"HH, BOX, NR7",15.475,164.85,0.4319,0.2621,2.281,1.535,1.337,0.975,162.9526,1.16,1.45,0.0285,0.017,0,0.0,0.82,True,True,True,True,True,False,False,False,False,False,UNKNOWN
HBM,2026-05-13 11:00,HBM|2026-05-13 11:00,CONTINUATION,1stPB,13.255,28.02,0.3631,0.2943,0.881,0.827,1.588,1.75,27.6291,1.41,0.971,0.1047,0.0173,0,0.181,0.217,True,True,True,True,False,False,False,False,True,False,UNKNOWN
STM,2026-05-13 11:00,STM|2026-05-13 11:00,STRONG_REV,1stPB,11.587,61.29,-0.4478,0.4629,0.431,1.26,1.118,1.312,60.9813,0.51,0.558,0.0364,-0.0041,0,0.4,0.34,True,True,True,True,False,False,False,False,True,False,UNKNOWN
SPIR,2026-05-13 10:30,SPIR|2026-05-13 10:30,SQUEEZE_POP,NR7,10.639,17.61,-0.2449,0.0596,0.429,3.004,3.391,1.97,17.5482,0.35,2.025,-0.0919,-0.0158,0,0.548,0.304,True,True,False,True,False,False,False,False,False,False,UNKNOWN
NUE,2026-05-13 10:30,NUE|2026-05-13 10:30,BOTH,1stPB,10.552,235.045,0.0229,0.7837,0.854,0.739,1.069,0.858,233.563,0.63,1.299,0.0132,0.0107,0,0.117,0.098,True,True,True,True,False,False,False,False,True,False,UNKNOWN
SNPS,2026-05-13 10:30,SNPS|2026-05-13 10:30,SQUEEZE_POP,"SQ, NR7",6.803,504.97,-0.2741,-0.1012,-1.493,1.308,1.363,1.095,508.2844,-0.65,1.806,-0.0163,-0.0238,0,0.065,0.835,True,True,False,False,False,False,False,False,False,True,UNKNOWN
DY,2026-05-13 13:00,DY|2026-05-13 13:00,SQUEEZE_POP,"HH, BOX, NR7",16.078,448.905,0.891,0.158,0.933,1.909,2.164,1.302,442.376,1.48,1.193,0.0555,0.0328,0,0.25,0.48,True,True,True,True,True,False,False,False,False,False,UNKNOWN
NBIS,2026-05-13 13:00,NBIS|2026-05-13 13:00,CONTINUATION,1stPB,13.452,212.775,0.1191,0.4086,0.483,0.73,1.974,2.309,205.9268,3.33,0.559,0.1781,0.0329,0,0.256,0.212,True,True,True,True,False,False,False,False,True,False,UNKNOWN
