ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
STRL,2026-05-28 11:30,STRL|2026-05-28 11:30,STRONG_CONT,SQ,20.066,828.55,0.2631,0.8985,1.48,2.234,3.011,2.067,802.2208,3.28,0.775,0.0512,0.0508,0,0.066,0.786,True,True,True,True,False,False,False,False,False,True,UNKNOWN
DY,2026-05-28 12:00,DY|2026-05-28 12:00,STRONG_CONT,ORB,19.302,548.8,0.1743,0.8026,1.13,1.646,6.174,3.614,537.543,2.09,0.923,0.2881,0.0375,0,0.197,0.566,True,True,True,True,False,True,False,False,False,False,UNKNOWN
ALIZY,2026-05-28 12:00,ALIZY|2026-05-28 12:00,BOTH,ORB,18.697,44.53,-0.4603,0.7305,2.837,6.838,10.091,3.524,44.3554,0.39,1.338,-0.0214,-0.0042,0,0.179,0.625,True,True,False,True,False,True,False,False,False,False,UNKNOWN
OSS,2026-05-28 12:00,OSS|2026-05-28 12:00,CONTINUATION,"HH, BOX",16.864,18.31,0.3627,0.3635,1.31,5.01,6.511,0.875,18.0204,1.61,1.045,0.0419,0.0247,0,0.353,0.534,True,True,True,True,True,False,False,False,False,False,UNKNOWN
DELL,2026-05-28 11:30,DELL|2026-05-28 11:30,BOTH,1stPB,16.573,325.68,-0.1484,0.7324,1.123,1.211,2.622,1.606,318.4904,2.26,0.98,0.0614,0.0182,0,0.147,0.78,True,True,True,True,False,False,False,False,True,False,UNKNOWN
CECO,2026-05-28 12:00,CECO|2026-05-28 12:00,STRONG_CONT,VWAP,15.34,80.04,0.1254,0.6488,2.166,1.472,2.506,4.021,79.6165,0.53,0.99,-0.1174,-0.0756,0,0.0,0.671,True,True,False,True,False,False,True,False,False,False,UNKNOWN
VSAT,2026-05-28 12:00,VSAT|2026-05-28 12:00,CONTINUATION,1stPB,14.074,87.6925,0.4181,-0.1883,0.111,1.598,3.009,1.533,87.4883,0.23,0.842,0.0584,0.0157,0,0.16,0.25,True,True,True,True,False,False,False,False,True,False,UNKNOWN
MYRG,2026-05-28 12:00,MYRG|2026-05-28 12:00,BOTH,HH,13.973,481.41,0.0296,0.8589,1.98,1.372,1.612,0.74,473.8557,1.59,0.903,0.0287,0.001,0,0.032,0.491,True,True,True,True,True,False,False,False,False,False,UNKNOWN
CRDO,2026-05-28 12:00,CRDO|2026-05-28 12:00,CONTINUATION,1stPB,10.942,226.75,0.5422,0.3587,1.194,0.842,0.769,0.691,221.3399,2.44,0.515,0.018,0.01,0,0.041,0.35,True,True,True,True,False,False,False,False,True,False,UNKNOWN
TIGO,2026-05-28 11:30,TIGO|2026-05-28 11:30,CONTINUATION,1stPB,9.718,86.27,0.0724,0.2394,0.033,0.601,1.125,0.921,85.7478,0.61,0.587,0.0332,0.0161,0,0.453,0.347,True,True,True,True,False,False,False,False,True,False,UNKNOWN
CPAY,2026-05-28 11:30,CPAY|2026-05-28 11:30,CONTINUATION,1stPB,8.916,354.005,0.416,-0.0428,0.007,0.854,1.655,0.907,353.15,0.24,0.522,0.0055,0.0009,0,0.307,0.172,True,True,True,True,False,False,False,False,True,False,UNKNOWN
