ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
NBIS,2026-05-07 10:00,NBIS|2026-05-07 10:00,BOTH,"ORB, PMH, BOX",15.736,195.78,-0.0418,0.5369,2.471,1.459,1.031,0.897,190.0787,3.0,2.069,0.082,0.0271,0,0.023,0.93,True,True,False,True,True,True,False,True,False,False,UNKNOWN
VSAT,2026-05-07 10:30,VSAT|2026-05-07 10:30,CONTINUATION,"ORB, HH, BOX, NR7",14.281,68.05,0.3305,0.4578,0.637,1.837,1.595,1.314,67.0147,1.54,1.45,0.017,-0.0039,0,0.34,0.656,True,True,True,True,True,True,False,False,False,False,UNKNOWN
S,2026-05-07 10:30,S|2026-05-07 10:30,REVERSAL,BOX,12.154,15.975,-0.0666,0.2295,1.545,1.147,1.785,1.44,15.9388,0.23,0.729,-0.0227,0.0041,0,0.071,0.357,True,True,True,True,True,False,False,False,False,False,UNKNOWN
CTRI,2026-05-07 10:30,CTRI|2026-05-07 10:30,SQUEEZE_POP,NR7,12.151,36.03,0.0009,-0.0205,0.158,2.316,6.444,7.824,35.6573,1.05,1.385,-0.166,-0.0448,0,0.497,0.473,True,True,False,True,False,False,False,False,False,False,UNKNOWN
ROAD,2026-05-07 10:30,ROAD|2026-05-07 10:30,BOTH,"ORB, BOX",11.488,135.005,0.0335,0.7227,0.55,1.029,1.688,1.383,133.7385,0.95,1.059,-0.0122,-0.005,0,0.21,0.79,True,True,True,True,True,True,False,False,False,False,UNKNOWN
NVST,2026-05-07 10:00,NVST|2026-05-07 10:00,SQUEEZE_POP,SQ,11.369,25.375,-0.0584,-0.4924,-1.485,3.659,5.057,8.254,26.1169,-2.84,1.046,-0.0589,-0.1384,0,0.288,0.444,False,True,False,False,False,False,False,False,False,True,UNKNOWN
CRDO,2026-05-07 10:30,CRDO|2026-05-07 10:30,CONTINUATION,1stPB,9.159,200.13,0.1459,0.4864,0.296,1.23,1.118,0.901,195.0728,2.59,1.069,-0.0209,0.0179,0,0.207,0.209,True,True,True,True,False,False,False,False,True,False,UNKNOWN
VSAT,2026-05-07 12:30,VSAT|2026-05-07 12:30,CONTINUATION,"ORB, BOX",14.045,68.05,0.0286,0.1963,1.236,1.201,1.571,1.47,67.2939,1.12,1.033,0.0264,0.0041,0,0.19,0.587,True,True,True,True,True,True,False,False,False,False,UNKNOWN
CPRX,2026-05-07 12:00,CPRX|2026-05-07 12:00,CONTINUATION,1stPB,12.126,31.225,0.4167,0.3077,-0.013,0.769,0.624,6.341,31.1527,0.23,0.494,0.005,0.0044,0,0.0,0.5,True,True,True,True,False,False,False,False,True,False,UNKNOWN
SANM,2026-05-07 12:00,SANM|2026-05-07 12:00,CONTINUATION,1stPB,9.784,238.915,0.1253,-0.1572,0.068,0.844,1.571,0.772,237.9976,0.39,1.166,0.0554,-0.0016,0,0.319,0.056,True,True,True,True,False,False,False,False,True,False,UNKNOWN
