ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
VLY,2026-05-22 15:30,VLY|2026-05-22 15:30,CONTINUATION,"ORB, HH, BOX",17.829,13.55,0.3131,0.4275,7.151,4.677,1.239,0.958,13.4859,0.48,1.412,0.011,0.0048,0,0.125,0.562,True,True,True,True,True,True,False,False,False,False,UNKNOWN
VVX,2026-05-22 15:30,VVX|2026-05-22 15:30,CONTINUATION,"HH, BOX",17.735,73.99,0.4588,0.3911,9.726,8.596,1.001,0.573,73.0989,1.22,1.868,0.0415,0.0303,0,0.009,0.732,True,True,True,True,True,False,False,False,False,False,UNKNOWN
CNC,2026-05-22 15:30,CNC|2026-05-22 15:30,BOTH,"ORB, PMH, HH, BOX",17.511,59.13,-0.4126,0.3596,3.366,3.624,0.556,0.466,58.7912,0.58,1.095,0.0126,0.0156,0,0.171,0.78,True,True,True,True,True,True,False,True,False,False,UNKNOWN
SANM,2026-05-22 15:30,SANM|2026-05-22 15:30,BOTH,HH,17.354,246.6,-0.223,0.8101,3.856,3.056,0.888,0.899,243.082,1.45,0.822,0.0568,0.0391,0,0.049,0.865,True,True,True,True,True,False,False,False,False,False,UNKNOWN
TIGO,2026-05-22 15:30,TIGO|2026-05-22 15:30,BOTH,VWAP,16.317,85.85,-0.1239,0.6956,3.407,4.921,1.183,0.917,85.2734,0.68,1.738,0.0045,0.0012,0,0.156,0.768,True,True,True,True,False,False,True,False,False,False,UNKNOWN
DT,2026-05-22 15:30,DT|2026-05-22 15:30,SQUEEZE_POP,"HH, NR7",15.038,41.19,0.1522,-0.007,1.639,5.148,0.722,0.523,40.7547,1.07,1.433,0.0514,0.0449,0,0.349,0.589,True,True,True,True,True,False,False,False,False,False,UNKNOWN
BPOP,2026-05-22 15:30,BPOP|2026-05-22 15:30,CONTINUATION,ORB,14.811,150.42,0.2741,-0.186,2.525,5.567,1.022,0.889,150.1028,0.21,1.384,0.0011,0.0108,0,0.252,0.342,True,True,True,True,False,True,False,False,False,False,UNKNOWN
CPAY,2026-05-22 15:30,CPAY|2026-05-22 15:30,BOTH,VWAP,14.215,347.8,0.0373,0.5378,3.966,6.537,0.966,0.594,347.4026,0.11,0.93,-0.0078,0.0007,0,0.076,0.457,True,True,False,True,False,False,True,False,False,False,UNKNOWN
EXEL,2026-05-22 15:30,EXEL|2026-05-22 15:30,CONTINUATION,1stPB,13.234,50.15,-0.0631,0.1227,1.913,3.255,0.591,0.505,49.9127,0.48,0.979,0.0009,0.011,0,0.319,0.468,True,True,True,True,False,False,False,False,True,False,UNKNOWN
FAF,2026-05-22 15:30,FAF|2026-05-22 15:30,CONTINUATION,1stPB,13.136,68.18,0.2629,0.1984,2.594,3.153,0.835,1.09,68.1734,0.01,1.087,-0.0014,0.0068,0,0.043,0.259,True,True,True,True,False,False,False,False,True,False,UNKNOWN
KFY,2026-05-22 15:30,KFY|2026-05-22 15:30,CONTINUATION,1stPB,13.083,68.04,-0.0726,-0.318,0.847,5.795,0.937,0.948,67.9211,0.18,1.167,0.0184,0.022,0,0.443,0.304,True,True,True,True,False,False,False,False,True,False,UNKNOWN
COLB,2026-05-22 15:30,COLB|2026-05-22 15:30,CONTINUATION,1stPB,10.693,29.73,0.1908,-0.246,0.926,3.402,0.562,0.47,29.7223,0.03,0.863,0.0063,0.0006,0,0.278,0.111,True,True,True,True,False,False,False,False,True,False,UNKNOWN
RLAY,2026-05-22 15:30,RLAY|2026-05-22 15:30,SQUEEZE_POP,NR7,9.075,13.54,-0.4601,-0.2667,-1.605,4.607,2.063,0.887,13.5831,-0.32,1.199,-0.0812,0.0044,0,0.651,0.279,True,True,False,False,False,False,False,False,False,False,UNKNOWN
