ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
CECO,2026-05-26 12:00,CECO|2026-05-26 12:00,REVERSAL,"HH, NR7",21.09,87.32,-0.0101,0.273,3.032,2.642,3.199,2.038,85.9349,1.61,1.643,0.0635,0.0396,0.0,0.095,0.848,True,True,True,True,True,False,False,False,False,False,UNKNOWN
LUMN,2026-05-26 12:00,LUMN|2026-05-26 12:00,BOTH,"ORB, HH",18.391,10.095,-0.2249,0.544,1.173,3.849,3.684,1.313,9.8823,2.15,1.735,0.0489,0.0545,0.0,0.352,0.574,True,True,True,True,True,True,False,False,False,False,UNKNOWN
ON,2026-05-26 12:00,ON|2026-05-26 12:00,BOTH,VWAP,15.964,126.685,0.0377,0.3472,1.18,1.219,2.3,1.841,126.2561,0.34,0.819,0.1376,0.0323,0.0,0.016,0.704,True,True,True,True,False,False,True,False,False,False,UNKNOWN
MU,2026-05-26 11:30,MU|2026-05-26 11:30,CONTINUATION,1stPB,12.498,873.2,0.4224,-0.2039,-0.074,0.981,1.101,1.377,864.6706,0.99,0.539,0.129,0.0668,0.0993,0.33,0.124,True,True,True,True,False,False,False,False,True,False,SEMIS
ILMN,2026-05-26 12:00,ILMN|2026-05-26 12:00,CONTINUATION,1stPB,12.326,145.76,0.3081,0.0015,2.144,1.603,1.277,0.903,145.0936,0.46,0.861,-0.0138,0.0087,-0.0004,0.061,0.339,True,True,True,True,False,False,False,False,True,False,BIOTECH
STT,2026-05-26 11:30,STT|2026-05-26 11:30,CONTINUATION,1stPB,10.4,156.86,0.1448,0.2781,0.864,0.736,0.831,1.096,156.2673,0.38,0.801,0.0037,0.0123,0.0,0.129,0.548,True,True,True,True,False,False,False,False,True,False,UNKNOWN
STT,2026-05-26 14:00,STT|2026-05-26 14:00,STRONG_CONT,1stPB,17.857,158.44,0.0776,0.9048,2.419,1.784,2.105,1.21,156.8602,1.01,1.146,0.0125,0.0185,0,0.095,0.899,True,True,True,True,False,False,False,False,True,False,UNKNOWN
ASX,2026-05-26 14:00,ASX|2026-05-26 14:00,BOTH,"VWAP, PMH",16.59,38.985,0.0343,0.9067,1.165,1.024,1.947,1.666,38.8639,0.31,0.389,0.1096,0.0219,0,0.022,0.935,True,True,True,True,False,False,True,True,False,False,UNKNOWN
GL,2026-05-26 14:30,GL|2026-05-26 14:30,REVERSAL,VWAP,14.827,157.03,-0.4057,0.1463,4.165,2.156,1.484,0.667,156.778,0.16,0.824,-0.0102,0.0042,0,0.0,1.0,True,True,True,True,False,False,True,False,False,False,UNKNOWN
SPIR,2026-05-26 14:30,SPIR|2026-05-26 14:30,SQUEEZE_POP,NR7,14.792,23.5,-0.389,-0.9174,-1.745,2.226,7.427,2.217,24.0386,-2.24,1.467,0.1171,0.0477,0,0.073,0.844,True,True,False,False,False,False,False,False,False,False,UNKNOWN
ON,2026-05-26 14:00,ON|2026-05-26 14:00,CONTINUATION,1stPB,13.334,127.77,0.3343,0.5326,0.092,0.878,1.872,1.709,126.4583,1.04,0.491,0.093,0.0391,0,0.34,0.087,True,True,True,True,False,False,False,False,True,False,UNKNOWN
S,2026-05-26 14:30,S|2026-05-26 14:30,BOTH,"ORB, HH",13.087,18.765,-0.1563,0.5368,0.95,1.176,1.737,1.484,18.5338,1.25,1.059,-0.0035,0.0043,0,0.172,0.544,True,True,True,True,True,True,False,False,False,False,UNKNOWN
CPAY,2026-05-26 14:30,CPAY|2026-05-26 14:30,REVERSAL,ORB,11.079,347.865,-0.013,0.2845,1.109,1.908,1.655,0.875,344.3999,1.01,0.946,-0.0052,0.0135,0,0.085,0.842,True,True,False,True,False,True,False,False,False,False,UNKNOWN
NUE,2026-05-26 14:00,NUE|2026-05-26 14:00,CONTINUATION,1stPB,9.678,239.36,0.0735,0.0807,-0.01,0.641,0.816,1.354,238.4704,0.37,0.544,0.0202,0.0263,0,0.107,0.25,True,True,True,True,False,False,False,False,True,False,UNKNOWN
