ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
DELL,2026-05-22 10:30,DELL|2026-05-22 10:30,CONTINUATION,1stPB,20.335,293.315,0.2452,0.3535,1.541,2.735,3.851,3.678,286.797,2.27,0.784,0.1907,0.0939,0,0.069,0.682,True,True,True,True,False,False,False,False,True,False,UNKNOWN
SPIR,2026-05-22 10:30,SPIR|2026-05-22 10:30,CONTINUATION,"ORB, HH, BOX, NR7",19.43,21.3744,0.6506,0.3014,3.26,3.05,1.343,0.91,20.8157,2.68,2.001,0.0787,0.0892,0,0.167,0.833,True,True,True,True,True,True,False,False,False,False,UNKNOWN
ON,2026-05-22 10:30,ON|2026-05-22 10:30,CONTINUATION,"ORB, HH, BOX, NR7",18.674,116.35,0.1883,0.4364,1.929,2.592,1.612,0.847,114.6958,1.44,1.789,0.0545,0.0493,0,0.167,0.786,True,True,True,True,True,True,False,False,False,False,UNKNOWN
HPE,2026-05-22 10:30,HPE|2026-05-22 10:30,STRONG_CONT,1stPB,18.313,37.18,0.9306,0.4888,2.138,2.096,1.68,1.652,36.438,2.04,1.399,0.0946,0.0728,0,0.033,0.878,True,True,True,True,False,False,False,False,True,False,UNKNOWN
S,2026-05-22 11:00,S|2026-05-22 11:00,STRONG_CONT,"ORB, HH, BOX, SQ",18.166,18.535,0.274,0.9722,2.762,1.259,1.454,0.76,18.3759,0.87,1.15,0.0175,0.0112,0,0.028,0.944,True,True,True,True,True,True,False,False,False,True,UNKNOWN
SNPS,2026-05-22 10:30,SNPS|2026-05-22 10:30,CONTINUATION,"ORB, HH, BOX",15.919,532.47,0.323,0.1727,0.636,1.484,1.701,1.494,525.9148,1.25,1.509,0.076,0.0439,0,0.208,0.753,True,True,True,True,True,True,False,False,False,False,UNKNOWN
FAF,2026-05-22 11:00,FAF|2026-05-22 11:00,BOTH,1stPB,14.335,68.27,0.0293,0.6073,1.629,1.736,2.231,1.453,68.1493,0.18,0.83,-0.0097,0.0029,0,0.231,0.006,True,True,True,True,False,False,False,False,True,False,UNKNOWN
CRDO,2026-05-22 10:30,CRDO|2026-05-22 10:30,SQUEEZE_POP,"VWAP, BOX, NR7",13.436,203.26,-0.0884,0.0531,1.169,0.973,0.935,1.195,201.4208,0.91,1.452,0.1149,0.0324,0,0.047,0.775,True,True,True,True,True,False,True,False,False,False,UNKNOWN
IBKR,2026-05-22 10:30,IBKR|2026-05-22 10:30,SQUEEZE_POP,NR7,11.465,82.595,0.0679,-0.4764,0.217,2.145,3.076,2.22,83.4667,-1.04,2.144,-0.0296,-0.0187,0,0.0,0.476,True,True,False,False,False,False,False,False,False,False,UNKNOWN
ASX,2026-05-22 11:00,ASX|2026-05-22 11:00,STRONG_REV,1stPB,8.821,34.775,-0.3667,0.5484,-0.412,0.645,0.846,1.251,34.5751,0.58,0.393,0.0909,-0.0115,0,0.419,0.032,False,True,True,True,False,False,False,False,True,False,UNKNOWN
ROIV,2026-05-22 11:00,ROIV|2026-05-22 11:00,SQUEEZE_POP,"VWAP, NR7",8.221,30.35,0.0511,-0.0626,0.947,0.697,1.303,1.097,30.199,0.5,1.2,-0.0804,-0.0152,0,0.216,0.505,True,True,False,True,False,False,True,False,False,False,UNKNOWN
CSTM,2026-05-22 13:00,CSTM|2026-05-22 13:00,STRONG_CONT,"HH, BOX",15.775,33.36,0.152,0.5556,2.185,2.026,2.716,0.93,32.9667,1.19,0.953,0.0292,0.0383,0,0.0,0.821,False,True,True,True,True,False,False,False,False,False,UNKNOWN
EWBC,2026-05-22 13:00,EWBC|2026-05-22 13:00,SQUEEZE_POP,NR7,14.231,123.51,0.2208,0.0,3.862,2.51,1.86,0.86,123.2626,0.2,1.287,-0.0171,0.001,0,0.0,0.515,True,True,True,True,False,False,False,False,False,False,UNKNOWN
ATI,2026-05-22 13:00,ATI|2026-05-22 13:00,STRONG_CONT,1stPB,11.339,164.03,0.1732,0.5218,0.297,0.988,1.538,0.982,162.1291,1.17,1.138,0.044,0.0153,0,0.187,0.576,False,True,True,True,False,False,False,False,True,False,UNKNOWN
SNPS,2026-05-22 12:30,SNPS|2026-05-22 12:30,CONTINUATION,1stPB,10.239,530.5,0.3575,0.0744,-0.183,0.456,0.737,1.254,527.9164,0.49,0.301,0.0541,0.0391,0,0.069,0.221,True,True,True,True,False,False,False,False,True,False,UNKNOWN
SANM,2026-05-22 15:00,SANM|2026-05-22 15:00,BOTH,"ORB, BOX",16.103,244.43,-0.5529,0.522,1.601,1.718,1.721,0.928,242.3595,0.85,1.334,0.0441,0.03,0,0.141,0.442,True,True,True,True,True,True,False,False,False,False,UNKNOWN
ATI,2026-05-22 14:30,ATI|2026-05-22 14:30,SQUEEZE_POP,NR7,8.403,162.54,0.3479,-0.0796,-1.957,1.424,1.918,1.035,162.4787,0.04,1.495,0.0365,0.0088,0,0.298,0.597,False,True,False,True,False,False,False,False,False,False,UNKNOWN
CPRX,2026-05-22 15:00,CPRX|2026-05-22 15:00,SQUEEZE_POP,NR7,8.4,31.25,-0.1667,-1.0,-4.328,3.085,1.845,0.351,31.2777,-0.09,1.377,-0.0113,0.002,0,0.333,0.667,True,True,False,False,False,False,False,False,False,False,UNKNOWN
