ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
MYRG,2026-04-30 10:00,MYRG|2026-04-30 10:00,CONTINUATION,VWAP,21.692,382.23,0.1859,0.3697,6.702,4.136,4.529,2.574,376.6472,1.48,2.98,0.141,0.0517,0,0.089,0.294,True,True,True,True,False,False,True,False,False,False,UNKNOWN
COLB,2026-04-30 10:00,COLB|2026-04-30 10:00,BOTH,"ORB, HH",17.942,29.59,-0.2186,0.9744,2.438,2.13,2.015,1.835,29.3432,0.84,2.08,-0.001,0.0172,0,0.0,0.797,True,True,False,True,True,True,False,False,False,False,UNKNOWN
CHRW,2026-04-30 10:30,CHRW|2026-04-30 10:30,REVERSAL,"1stPB, NR7",13.352,187.78,-0.2052,0.2482,0.805,1.925,2.084,2.36,187.2192,0.3,1.782,-0.0137,-0.0124,0,0.413,0.077,True,True,False,True,False,False,False,False,True,False,UNKNOWN
VSAT,2026-04-30 10:30,VSAT|2026-04-30 10:30,CONTINUATION,1stPB,13.129,61.75,0.6074,0.3998,-0.257,1.3,1.84,1.469,61.4727,0.45,1.499,0.0582,0.0214,0,0.264,0.22,True,True,True,True,False,False,False,False,True,False,UNKNOWN
