ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
ROAD,2026-05-08 09:30,ROAD|2026-05-08 09:30,REVERSAL,NR7,22.02,148.365,-0.2206,0.2613,2.267,5.454,8.314,8.909,146.4417,1.31,3.982,0.0914,0.0393,0.0,0.239,0.508,True,True,True,True,False,False,False,False,False,False,UNKNOWN
AMD,2026-05-08 09:30,AMD|2026-05-08 09:30,SQUEEZE_POP,NR7,16.275,432.63,0.1158,0.2036,3.537,3.216,0.888,0.952,428.5733,0.95,2.534,0.0197,0.0335,0.0123,0.131,0.85,True,True,True,True,False,False,False,False,False,False,SEMIS
DELL,2026-05-08 09:30,DELL|2026-05-08 09:30,STRONG_CONT,NR7,15.101,242.495,0.2295,0.8796,2.273,1.608,0.938,0.925,239.655,1.19,3.005,0.0133,0.0381,0.0,0.041,0.959,True,True,True,True,False,False,False,False,False,False,UNKNOWN
COLB,2026-05-08 09:30,COLB|2026-05-08 09:30,SQUEEZE_POP,NR7,14.38,29.96,0.1502,0.3767,2.283,2.233,1.41,1.451,29.8683,0.31,2.357,-0.0202,0.0108,0.0,0.123,0.877,True,True,False,True,False,False,False,False,False,False,UNKNOWN
HBM,2026-05-08 09:30,HBM|2026-05-08 09:30,SQUEEZE_POP,NR7,12.665,24.98,-0.3562,-0.2039,1.536,2.045,0.945,0.941,24.845,0.54,2.031,0.0185,0.0134,0.0,0.252,0.405,True,True,True,True,False,False,False,False,False,False,UNKNOWN
MITK,2026-05-08 09:30,MITK|2026-05-08 09:30,SQUEEZE_POP,SQ,12.215,13.92,-0.1655,-0.1174,-7.872,5.089,3.897,3.933,14.22,-2.11,3.532,-0.1153,-0.0569,0.0,0.145,0.764,True,True,False,False,False,False,False,False,False,True,UNKNOWN
APP,2026-05-08 09:30,APP|2026-05-08 09:30,SQUEEZE_POP,NR7,9.959,455.96,-0.1337,-0.8479,-2.566,1.773,2.221,2.327,467.8233,-2.54,3.134,-0.0333,-0.0771,0.0,0.022,0.897,True,True,False,False,False,False,False,False,False,False,UNKNOWN
TGB,2026-05-08 09:30,TGB|2026-05-08 09:30,SQUEEZE_POP,NR7,9.084,7.51,-0.7508,-0.5417,0.046,1.679,1.458,1.413,7.5167,-0.09,1.273,-0.0093,0.0067,0.0,0.542,0.208,True,True,True,False,False,False,False,False,False,False,UNKNOWN
HPE,2026-05-08 09:30,HPE|2026-05-08 09:30,SQUEEZE_POP,NR7,8.893,30.22,0.4769,0.4006,0.979,1.446,1.088,1.017,30.1173,0.34,2.089,-0.0102,0.0073,0.0,0.171,0.47,True,True,False,True,False,False,False,False,False,False,UNKNOWN
ILMN,2026-05-08 09:30,ILMN|2026-05-08 09:30,SQUEEZE_POP,NR7,8.784,135.105,0.1865,-0.3754,-2.731,2.36,1.554,1.537,135.9783,-0.64,2.949,-0.0631,-0.021,-0.0261,0.046,0.83,True,True,False,False,False,False,False,False,False,False,BIOTECH
PBI,2026-05-08 09:30,PBI|2026-05-08 09:30,SQUEEZE_POP,NR7,8.674,15.67,-0.2803,-0.3387,-1.192,1.142,1.411,1.092,15.74,-0.44,1.977,0.0473,-0.0044,0.0,0.613,0.226,True,True,True,False,False,False,False,False,False,False,UNKNOWN
VSAT,2026-05-08 09:30,VSAT|2026-05-08 09:30,SQUEEZE_POP,NR7,7.974,68.1,-0.0191,-0.131,-0.673,1.586,1.143,1.213,68.3367,-0.35,2.021,-0.0015,0.0111,0.0,0.631,0.277,True,True,True,False,False,False,False,False,False,False,UNKNOWN
VLY,2026-05-08 09:30,VLY|2026-05-08 09:30,SQUEEZE_POP,NR7,7.614,13.485,0.2,0.2037,1.308,1.497,0.873,0.497,13.4667,0.14,2.189,-0.0258,0.0019,0.0,0.296,0.185,True,True,False,True,False,False,False,False,False,False,UNKNOWN
ON,2026-05-08 09:30,ON|2026-05-08 09:30,SQUEEZE_POP,NR7,6.529,102.18,-0.1679,-0.0763,1.301,1.177,0.688,0.62,101.7448,0.43,1.405,-0.0399,0.0019,0.0,0.091,0.119,True,True,False,True,False,False,False,False,False,False,UNKNOWN
