ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
NBIS,2026-05-21 11:00,NBIS|2026-05-21 11:00,CONTINUATION,1stPB,12.43,223.19,0.8643,-0.147,0.364,0.884,0.852,1.385,219.9731,1.46,0.6,0.1231,0.0559,0,0.23,0.378,True,True,True,True,False,False,False,False,True,False,UNKNOWN
IBKR,2026-05-21 13:00,IBKR|2026-05-21 13:00,STRONG_REV,"VWAP, NR7",15.642,83.42,-0.3083,0.4488,3.636,2.352,3.485,1.078,83.2504,0.2,1.346,-0.0257,-0.0013,0,0.145,0.725,True,True,False,True,False,False,True,False,False,False,UNKNOWN
STM,2026-05-21 13:30,STM|2026-05-21 13:30,CONTINUATION,1stPB,11.472,65.77,0.4172,0.4954,0.277,1.088,1.555,0.682,64.6109,1.79,1.094,0.0142,0.0126,0,0.349,0.619,True,True,True,True,False,False,False,False,True,False,UNKNOWN
ROIV,2026-05-21 13:00,ROIV|2026-05-21 13:00,REVERSAL,VWAP,9.299,31.62,-0.2208,0.3224,0.393,0.401,1.565,1.824,31.5019,0.37,1.113,-0.0297,-0.0202,0,0.06,0.94,True,True,False,True,False,False,True,False,False,False,UNKNOWN
