ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
AMD,2026-04-24 10:00,AMD|2026-04-24 10:00,REVERSAL,VWAP,21.127,346.34,0.5372,0.1444,2.289,2.503,2.663,2.951,342.3021,1.18,1.536,0.1463,0.0282,0.1011,0.307,0.543,True,True,True,True,False,False,True,False,False,False,SEMIS
SANM,2026-04-24 10:00,SANM|2026-04-24 10:00,STRONG_CONT,"ORB, PMH",20.104,186.76,0.3001,0.5185,1.429,1.829,2.77,5.769,183.2535,1.91,1.78,0.0456,0.0147,0.0,0.126,0.803,True,True,True,True,False,True,False,True,False,False,UNKNOWN
COLB,2026-04-24 10:00,COLB|2026-04-24 10:00,REVERSAL,VWAP,16.877,29.29,0.5317,0.2918,3.548,1.849,4.055,3.673,29.2,0.31,1.329,-0.0005,0.008,0.0,0.034,0.724,True,True,False,True,False,False,True,False,False,False,UNKNOWN
MU,2026-04-24 10:00,MU|2026-04-24 10:00,REVERSAL,"VWAP, PMH",15.917,501.98,0.5708,0.1801,2.269,1.547,1.037,1.107,497.6677,0.87,1.189,0.0258,0.012,-0.0194,0.085,0.856,True,True,True,True,False,False,True,True,False,False,SEMIS
FAF,2026-04-24 09:30,FAF|2026-04-24 09:30,BOTH,NR7,14.056,70.67,-0.1844,0.3966,1.25,1.016,1.725,1.732,70.0567,0.88,2.525,0.0541,0.0154,0.0,0.103,0.461,True,True,True,True,False,False,False,False,False,False,UNKNOWN
CHTR,2026-04-24 09:30,CHTR|2026-04-24 09:30,SQUEEZE_POP,NR7,13.061,199.035,-0.4088,-0.9566,-9.837,8.08,9.588,10.032,210.3866,-5.4,7.128,-0.1886,-0.1458,0.0,0.046,0.911,True,True,False,False,False,False,False,False,False,False,UNKNOWN
CPRX,2026-04-24 09:30,CPRX|2026-04-24 09:30,SQUEEZE_POP,NR7,12.446,27.1862,0.1939,0.1539,-1.537,1.983,2.477,2.445,27.4354,-0.91,2.906,0.046,-0.0168,0.0,0.417,0.429,True,True,False,False,False,False,False,False,False,False,UNKNOWN
GL,2026-04-24 09:30,GL|2026-04-24 09:30,CONTINUATION,NR7,11.627,154.88,0.6667,0.4424,0.532,1.184,1.681,1.685,154.0104,0.56,2.716,0.0227,0.0016,0.0,0.058,0.085,True,True,True,True,False,False,False,False,False,False,UNKNOWN
HBM,2026-04-24 09:30,HBM|2026-04-24 09:30,SQUEEZE_POP,NR7,8.796,23.94,0.0643,-0.1909,-1.354,2.631,1.533,1.379,24.01,-0.29,1.842,-0.0378,-0.0156,0.0,0.0,0.691,True,True,False,False,False,False,False,False,False,False,UNKNOWN
BAC,2026-04-24 09:30,BAC|2026-04-24 09:30,SQUEEZE_POP,NR7,7.974,52.395,0.1473,0.4521,1.183,1.637,0.566,0.572,52.295,0.19,2.104,-0.0206,0.0014,0.0,0.217,0.142,True,True,False,True,False,False,False,False,False,False,UNKNOWN
GNRC,2026-04-24 09:30,GNRC|2026-04-24 09:30,SQUEEZE_POP,NR7,7.259,220.11,-0.0181,-0.1553,-0.845,1.391,1.12,1.089,220.4433,-0.15,1.735,0.0198,-0.0024,0.0,0.488,0.168,True,True,True,False,False,False,False,False,False,False,UNKNOWN
AMD,2026-04-24 11:30,AMD|2026-04-24 11:30,CONTINUATION,"ORB, HH",17.943,351.01,0.2849,0.2938,1.843,0.987,1.802,2.54,344.2069,1.98,0.617,0.1446,0.0347,0.0921,0.073,0.78,True,True,True,True,True,True,False,False,False,False,SEMIS
SNPS,2026-04-24 11:00,SNPS|2026-04-24 11:00,STRONG_CONT,"ORB, HH",17.146,497.99,0.1384,0.7896,1.237,1.106,1.693,2.216,488.8115,1.88,0.536,0.0341,0.0561,0.0,0.035,0.829,True,True,True,True,True,True,False,False,False,False,UNKNOWN
FAF,2026-04-24 11:30,FAF|2026-04-24 11:30,CONTINUATION,BOX,14.589,70.79,0.1762,0.3551,1.267,1.083,2.71,1.715,70.4279,0.51,0.577,0.054,0.0095,0.0,0.114,0.591,True,True,True,True,True,False,False,False,False,False,UNKNOWN
LITE,2026-04-24 11:00,LITE|2026-04-24 11:00,STRONG_CONT,"HH, BOX",13.712,876.5591,0.2743,0.5931,1.401,1.686,1.35,0.709,854.7191,2.56,1.287,0.0014,0.0424,0.0,0.237,0.65,True,True,True,True,True,False,False,False,False,False,UNKNOWN
CLS,2026-04-24 11:30,CLS|2026-04-24 11:30,STRONG_CONT,1stPB,13.275,419.17,0.067,0.7139,1.418,0.928,0.995,0.941,409.3374,2.4,1.45,0.0309,0.0274,0.0,0.076,0.753,True,True,True,True,False,False,False,False,True,False,UNKNOWN
ASX,2026-04-24 11:30,ASX|2026-04-24 11:30,CONTINUATION,1stPB,12.934,32.12,0.1223,0.0822,0.822,0.656,1.359,1.392,31.8866,0.73,0.624,0.0607,0.0127,0.0,0.038,0.827,True,True,True,True,False,False,False,False,True,False,UNKNOWN
