ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
CNC,2026-06-08 11:30,CNC|2026-06-08 11:30,STRONG_CONT,"PMH, SQ",23.221,64.36,0.3773,0.83,4.319,4.196,6.351,1.933,63.4475,1.44,2.512,0.0546,0.0239,0,0.11,0.799,True,True,True,True,False,False,False,True,False,True,UNKNOWN
LQDA,2026-06-08 11:30,LQDA|2026-06-08 11:30,BOTH,"VWAP, PMH, BOX",16.123,65.46,-0.1875,0.4229,1.164,0.938,1.588,2.119,64.9381,0.8,1.194,0.0748,-0.0013,0,0.023,0.872,True,True,True,True,True,False,True,True,False,False,UNKNOWN
DAVE,2026-06-08 12:00,DAVE|2026-06-08 12:00,SQUEEZE_POP,"HH, NR7",11.925,276.8301,0.2984,0.0884,0.321,1.386,1.152,0.677,271.1643,2.09,1.439,0.086,0.04,0,0.403,0.363,True,True,True,True,True,False,False,False,False,False,UNKNOWN
APP,2026-06-08 11:30,APP|2026-06-08 11:30,CONTINUATION,1stPB,10.61,570.3,0.2377,0.3164,0.819,0.675,0.764,0.759,568.391,0.34,0.555,0.0482,0.0122,0,0.0,0.274,True,True,True,True,False,False,False,False,True,False,UNKNOWN
ABBV,2026-06-08 11:30,ABBV|2026-06-08 11:30,SQUEEZE_POP,NR7,6.443,222.82,-0.3716,-0.4327,-0.716,0.669,1.124,1.112,225.1013,-1.01,1.172,0.0186,-0.0261,0,0.092,0.812,True,True,False,False,False,False,False,False,False,False,UNKNOWN
