ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
LQDA,2026-06-11 11:30,LQDA|2026-06-11 11:30,SQUEEZE_POP,"ORB, NR7",14.325,69.825,0.5665,-0.4134,-0.42,1.542,1.967,1.508,69.0002,1.2,1.339,0.1001,0.049,0,0.543,0.378,True,True,True,True,False,True,False,False,False,False,UNKNOWN
CRDO,2026-06-11 11:30,CRDO|2026-06-11 11:30,CONTINUATION,1stPB,10.576,258.9605,0.231,0.0985,-0.241,0.564,0.942,1.17,258.4031,0.22,0.556,0.1142,0.0642,0,0.473,0.446,True,True,True,True,False,False,False,False,True,False,UNKNOWN
STM,2026-06-11 11:30,STM|2026-06-11 11:30,CONTINUATION,1stPB,9.593,74.85,0.087,0.363,0.1,0.482,0.535,1.101,74.6016,0.33,0.561,0.0294,0.0125,0,0.333,0.101,True,True,True,True,False,False,False,False,True,False,UNKNOWN
ENVA,2026-06-11 15:00,ENVA|2026-06-11 15:00,CONTINUATION,HH,17.308,187.275,0.3524,0.5573,1.127,2.313,3.822,2.795,183.6857,1.95,0.834,0.0258,0.0136,0,0.347,0.653,True,True,True,True,True,False,False,False,False,False,UNKNOWN
STT,2026-06-11 14:30,STT|2026-06-11 14:30,BOTH,"ORB, BOX",15.151,164.43,-0.1002,0.4046,1.859,1.235,2.252,1.507,163.437,0.61,0.98,0.0162,-0.0026,0,0.0,0.995,True,True,True,True,True,True,False,False,False,False,UNKNOWN
LQDA,2026-06-11 15:00,LQDA|2026-06-11 15:00,STRONG_CONT,BOX,14.671,72.16,0.2884,0.6775,1.344,1.108,1.582,1.913,69.9828,3.11,0.667,0.0713,0.066,0,0.036,0.571,True,True,True,True,True,False,False,False,False,False,UNKNOWN
BPOP,2026-06-11 14:30,BPOP|2026-06-11 14:30,CONTINUATION,"ORB, BOX",14.322,158.81,0.6014,0.3258,2.361,1.173,1.49,1.434,157.2485,0.99,0.695,-0.0088,-0.0039,0,0.032,0.656,True,True,True,True,True,True,False,False,False,False,UNKNOWN
EWBC,2026-06-11 14:30,EWBC|2026-06-11 14:30,CONTINUATION,1stPB,11.072,129.82,0.4655,0.3939,1.738,1.5,1.512,0.991,129.1926,0.49,0.466,-0.0056,-0.0066,0,0.0,0.294,True,True,True,True,False,False,False,False,True,False,UNKNOWN
TIGO,2026-06-11 15:00,TIGO|2026-06-11 15:00,CONTINUATION,1stPB,9.566,93.015,0.1798,0.4251,-0.377,0.872,0.912,1.124,92.0997,0.99,0.637,0.0226,0.0169,0,0.47,0.519,True,True,True,True,False,False,False,False,True,False,UNKNOWN
RF,2026-06-11 15:00,RF|2026-06-11 15:00,STRONG_CONT,1stPB,8.698,28.9189,0.3499,0.5392,0.566,0.709,0.731,1.174,28.6621,0.9,0.457,-0.0178,-0.0094,0,0.23,0.699,True,True,True,True,False,False,False,False,True,False,UNKNOWN
KEY,2026-06-11 14:30,KEY|2026-06-11 14:30,CONTINUATION,1stPB,8.081,22.325,0.4313,0.3175,0.55,0.375,0.625,1.172,22.1281,0.89,0.398,-0.008,-0.003,0,0.1,0.8,True,True,True,True,False,False,False,False,True,False,UNKNOWN
