ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
STM,2026-05-20 11:30,STM|2026-05-20 11:30,CONTINUATION,1stPB,13.068,64.72,0.3549,0.184,1.736,1.317,0.947,0.886,64.1178,0.94,0.611,0.053,0.007,0,0.021,0.646,True,True,True,True,False,False,False,False,True,False,UNKNOWN
SANM,2026-05-20 14:00,SANM|2026-05-20 14:00,REVERSAL,"VWAP, NR7",14.985,234.2699,0.2565,0.1707,1.712,1.381,1.735,0.771,231.7125,1.1,1.455,0.057,0.0219,0,0.094,0.776,True,True,True,True,False,False,True,False,False,False,UNKNOWN
RAMP,2026-05-20 14:00,RAMP|2026-05-20 14:00,CONTINUATION,ORB,12.316,37.745,-0.0,0.2083,0.521,0.64,2.548,3.038,37.7295,0.04,0.752,-0.0178,-0.0048,0,0.125,0.375,True,True,True,True,False,True,False,False,False,False,UNKNOWN
