ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
ARCB,2026-06-05 11:00,ARCB|2026-06-05 11:00,BOTH,BOX,20.863,154.25,-0.0823,0.4181,2.983,2.966,4.249,3.65,153.7339,0.34,0.575,0.1263,0.0303,0,0.193,0.409,True,True,True,True,True,False,False,False,False,False,UNKNOWN
HWC,2026-06-05 10:30,HWC|2026-06-05 10:30,CONTINUATION,"ORB, BOX",14.644,69.325,-0.1223,0.0401,1.665,1.292,1.659,1.22,69.0492,0.4,2.025,0.0516,0.0054,0,0.085,0.896,True,True,True,True,True,True,False,False,False,False,UNKNOWN
CRDO,2026-06-05 11:00,CRDO|2026-06-05 11:00,CONTINUATION,1stPB,14.193,226.585,0.0067,0.1721,1.003,1.44,1.656,1.65,222.3753,1.89,1.044,0.1001,0.0907,0,0.184,0.128,True,True,True,True,False,False,False,False,True,False,UNKNOWN
FHN,2026-06-05 11:00,FHN|2026-06-05 11:00,BOTH,1stPB,13.444,24.405,-0.3531,0.7059,0.834,1.533,2.128,1.063,24.3462,0.24,0.919,0.0569,0.0058,0,0.0,0.294,False,True,True,True,False,False,False,False,True,False,UNKNOWN
ABBV,2026-06-05 10:30,ABBV|2026-06-05 10:30,CONTINUATION,1stPB,12.662,227.98,0.4062,0.4977,0.136,0.712,1.159,1.423,227.6262,0.16,0.556,0.068,0.0,0,0.421,0.461,True,True,True,True,False,False,False,False,True,False,UNKNOWN
VICR,2026-06-05 10:30,VICR|2026-06-05 10:30,REVERSAL,VWAP,9.604,287.015,-0.8301,0.2916,0.552,1.211,1.47,1.646,282.1816,1.71,1.365,-0.1013,-0.0316,0,0.323,0.677,True,True,False,True,False,False,True,False,False,False,UNKNOWN
HBM,2026-06-05 11:00,HBM|2026-06-05 11:00,SQUEEZE_POP,NR7,9.044,27.14,-0.3578,-0.1115,-0.95,1.651,1.93,2.222,27.8227,-2.45,1.762,-0.0849,-0.0411,0,0.035,0.872,True,True,False,False,False,False,False,False,False,False,UNKNOWN
ASX,2026-06-05 11:00,ASX|2026-06-05 11:00,SQUEEZE_POP,NR7,6.861,35.15,-0.5736,-0.1862,-0.559,1.05,1.497,1.488,35.6474,-1.4,1.154,-0.0913,-0.0337,0,0.0,0.866,True,True,False,False,False,False,False,False,False,False,UNKNOWN
GLW,2026-06-05 10:30,GLW|2026-06-05 10:30,SQUEEZE_POP,NR7,6.558,188.455,-0.7428,0.103,0.457,1.056,0.899,1.128,185.5677,1.56,1.23,-0.03,-0.0075,0,0.38,0.62,True,True,False,True,False,False,False,False,False,False,UNKNOWN
HWC,2026-06-05 13:00,HWC|2026-06-05 13:00,REVERSAL,"VWAP, NR7",17.569,69.29,-0.1968,0.2045,1.827,1.725,3.73,1.706,69.1156,0.25,1.602,0.0301,0.0187,0,0.068,0.773,True,True,True,True,False,False,True,False,False,False,UNKNOWN
ABBV,2026-06-05 12:30,ABBV|2026-06-05 12:30,BOTH,1stPB,13.068,230.24,-0.0104,0.6135,0.218,0.767,1.771,1.39,228.484,0.77,0.546,0.0634,0.0222,0,0.303,0.007,True,True,True,True,False,False,False,False,True,False,UNKNOWN
GL,2026-06-05 13:00,GL|2026-06-05 13:00,STRONG_REV,1stPB,12.977,158.2,-0.3713,0.5825,0.331,1.696,2.059,0.932,157.681,0.33,0.852,0.0543,0.0317,0,0.417,0.029,False,True,True,True,False,False,False,False,True,False,UNKNOWN
FHN,2026-06-05 12:30,FHN|2026-06-05 12:30,SQUEEZE_POP,SQ,7.833,24.24,0.3442,-0.1373,-0.04,1.184,1.772,1.145,24.32,-0.33,0.835,0.0281,0.0067,0,0.353,0.118,False,True,False,False,False,False,False,False,False,True,UNKNOWN
SANM,2026-06-05 12:30,SANM|2026-06-05 12:30,SQUEEZE_POP,NR7,6.71,262.295,0.2526,-0.3988,0.304,1.249,1.614,0.68,265.8165,-1.32,1.159,-0.0078,-0.0183,0,0.0,0.399,True,True,False,False,False,False,False,False,False,False,UNKNOWN
