ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
CECO,2026-04-28 10:30,CECO|2026-04-28 10:30,CONTINUATION,"VWAP, BOX, NR7",23.965,70.33,0.1419,0.3133,7.103,3.199,9.184,7.511,68.145,3.21,3.094,0.0911,0.0423,0.0,0.006,0.647,True,True,True,True,True,False,True,False,False,False,UNKNOWN
NUE,2026-04-28 10:30,NUE|2026-04-28 10:30,BOTH,"VWAP, BOX, SQ",21.692,220.45,-0.4392,0.5983,2.521,1.872,3.363,3.127,218.3517,0.96,2.181,0.0396,0.0055,0.0,0.04,0.738,True,True,True,True,True,False,True,False,False,True,UNKNOWN
CNC,2026-04-28 10:30,CNC|2026-04-28 10:30,CONTINUATION,"ORB, VWAP, PMH, BOX",20.922,46.535,0.1911,-0.0591,1.268,1.53,4.656,5.998,45.8533,1.49,1.508,0.1293,0.0428,0.0,0.059,0.941,True,True,True,True,True,True,True,True,False,False,UNKNOWN
NVST,2026-04-28 10:30,NVST|2026-04-28 10:30,REVERSAL,SQ,16.559,26.585,-0.5644,0.2953,2.623,3.617,4.462,3.884,26.5975,-0.05,1.26,0.0042,-0.0021,0.0,0.176,0.088,True,True,False,False,False,False,False,False,False,True,UNKNOWN
LC,2026-04-28 10:00,LC|2026-04-28 10:00,SQUEEZE_POP,NR7,12.871,17.275,0.1376,-0.878,-3.624,3.164,13.387,9.269,17.7946,-2.92,1.264,-0.0091,-0.0563,0.0,0.102,0.878,True,True,False,False,False,False,False,False,False,False,UNKNOWN
MU,2026-04-28 10:30,MU|2026-04-28 10:30,SQUEEZE_POP,NR7,11.013,494.9175,0.5741,-0.3671,-0.307,2.282,2.044,1.365,503.5515,-1.71,1.844,0.0064,-0.013,0.0324,0.051,0.487,True,True,False,False,False,False,False,False,False,False,SEMIS
LITE,2026-04-28 10:30,LITE|2026-04-28 10:30,SQUEEZE_POP,NR7,9.889,794.11,0.0075,-0.3109,0.629,2.689,2.315,1.27,809.2247,-1.87,1.668,-0.0952,-0.02,0.0,0.059,0.353,True,True,False,False,False,False,False,False,False,False,UNKNOWN
NBIS,2026-04-28 10:30,NBIS|2026-04-28 10:30,SQUEEZE_POP,NR7,7.684,134.7733,0.041,-0.4874,-0.375,2.334,1.936,0.969,137.2496,-1.8,1.929,-0.0975,-0.0221,0.0,0.1,0.492,True,True,False,False,False,False,False,False,False,False,UNKNOWN
AMSC,2026-04-28 10:30,AMSC|2026-04-28 10:30,SQUEEZE_POP,NR7,6.357,46.495,0.5757,-0.4146,0.559,1.155,1.908,1.285,47.3029,-1.71,1.476,-0.0691,-0.0254,0.0,0.171,0.244,True,True,False,False,False,False,False,False,False,False,UNKNOWN
DELL,2026-04-28 10:30,DELL|2026-04-28 10:30,SQUEEZE_POP,NR7,6.213,203.775,0.0759,-0.4937,0.177,1.751,1.226,0.909,206.2141,-1.18,2.325,-0.0499,-0.0254,0.0,0.11,0.411,True,True,False,False,False,False,False,False,False,False,UNKNOWN
GNRC,2026-04-28 10:30,GNRC|2026-04-28 10:30,SQUEEZE_POP,NR7,6.208,212.485,-0.3773,-0.1743,-0.025,0.841,1.35,1.745,213.8242,-0.63,1.443,-0.024,-0.0144,0.0,0.041,0.515,True,True,False,False,False,False,False,False,False,False,UNKNOWN
ASX,2026-04-28 10:30,ASX|2026-04-28 10:30,SQUEEZE_POP,NR7,6.103,29.85,0.6313,0.0349,0.698,0.845,1.249,1.657,29.9408,-0.3,1.5,-0.0615,-0.0009,0.0,0.115,0.09,True,True,False,False,False,False,False,False,False,False,UNKNOWN
