ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
PBI,2026-04-21 09:30,PBI|2026-04-21 09:30,SQUEEZE_POP,NR7,23.741,14.66,0.7111,0.2277,6.986,12.153,10.792,11.564,14.5432,0.8,4.367,0.1329,0.0288,0.0,0.272,0.533,True,True,True,True,False,False,False,False,False,False,UNKNOWN
SCHL,2026-04-21 09:30,SCHL|2026-04-21 09:30,CONTINUATION,NR7,23.286,42.415,0.3285,0.4547,9.191,6.21,5.712,5.827,41.7117,1.69,7.98,0.066,0.0551,0.0,0.045,0.955,True,True,True,True,False,False,False,False,False,False,UNKNOWN
HPE,2026-04-21 10:00,HPE|2026-04-21 10:00,BOTH,ORB,21.123,29.385,-0.0441,0.7843,2.29,1.834,2.665,2.529,29.0056,1.31,1.322,0.1135,0.0505,0.0,0.075,0.65,True,True,True,True,False,True,False,False,False,False,UNKNOWN
DY,2026-04-21 10:00,DY|2026-04-21 10:00,CONTINUATION,"VWAP, PMH, BOX",19.026,413.95,0.3849,-0.2703,1.263,3.613,4.605,2.281,413.2257,0.18,2.444,0.0338,0.0065,0.0,0.341,0.559,True,True,True,True,True,False,True,True,False,False,UNKNOWN
SPXC,2026-04-21 09:30,SPXC|2026-04-21 09:30,REVERSAL,NR7,18.253,223.3,-0.0482,0.3226,4.928,2.909,2.859,3.196,221.6567,0.74,4.323,-0.0083,0.022,0.0,0.177,0.63,True,True,False,True,False,False,False,False,False,False,UNKNOWN
NVTS,2026-04-21 10:00,NVTS|2026-04-21 10:00,REVERSAL,ORB,17.653,16.1865,-0.2374,0.3693,-0.606,3.896,6.108,6.836,15.738,2.85,1.448,0.2931,0.1204,0.0,0.565,0.215,True,True,True,True,False,True,False,False,False,False,UNKNOWN
DELL,2026-04-21 10:00,DELL|2026-04-21 10:00,BOTH,"ORB, PMH",17.183,210.5048,-0.2024,0.6581,0.953,1.796,1.502,1.496,208.9433,0.75,1.306,0.0716,0.0225,0.0,0.222,0.536,True,True,True,True,False,True,False,True,False,False,UNKNOWN
NUE,2026-04-21 09:30,NUE|2026-04-21 09:30,CONTINUATION,NR7,17.171,207.97,0.088,0.3762,2.11,2.278,1.731,1.817,206.45,0.74,4.564,0.0563,0.0262,0.0,0.124,0.876,True,True,True,True,False,False,False,False,False,False,UNKNOWN
ILMN,2026-04-21 09:30,ILMN|2026-04-21 09:30,SQUEEZE_POP,NR7,16.254,135.955,-0.3373,0.1714,1.413,2.717,1.766,1.9,135.35,0.45,4.89,0.0134,0.0207,0.0288,0.329,0.52,True,True,True,True,False,False,False,False,False,False,BIOTECH
CHTR,2026-04-21 09:30,CHTR|2026-04-21 09:30,BOTH,NR7,15.825,247.53,-0.1857,0.4783,1.924,1.617,1.658,1.732,246.3567,0.48,1.617,0.0408,0.0061,0.0,0.022,0.41,True,True,True,True,False,False,False,False,False,False,UNKNOWN
AMD,2026-04-21 09:30,AMD|2026-04-21 09:30,CONTINUATION,NR7,14.753,280.33,0.1856,0.3496,2.96,2.664,0.912,0.899,279.1333,0.43,1.582,0.0023,0.0108,-0.0068,0.031,0.783,True,True,True,True,False,False,False,False,False,False,SEMIS
DAVE,2026-04-21 09:30,DAVE|2026-04-21 09:30,SQUEEZE_POP,NR7,14.613,277.36,0.5251,0.0243,0.139,1.943,2.069,2.072,277.1076,0.09,3.137,0.099,0.0273,0.0,0.476,0.473,True,True,True,True,False,False,False,False,False,False,UNKNOWN
ZTO,2026-04-21 09:30,ZTO|2026-04-21 09:30,SQUEEZE_POP,NR7,14.493,25.7,0.1098,-0.0823,-1.566,6.132,3.007,3.293,25.7217,-0.08,3.908,0.0254,0.0059,0.0,0.582,0.38,True,True,True,False,False,False,False,False,False,False,UNKNOWN
AMSC,2026-04-21 09:30,AMSC|2026-04-21 09:30,CONTINUATION,NR7,13.123,41.385,0.155,0.6318,1.463,2.875,1.058,1.164,41.2967,0.21,2.142,0.0178,0.0006,0.0,0.368,0.025,True,True,True,True,False,False,False,False,False,False,UNKNOWN
CLS,2026-04-21 09:30,CLS|2026-04-21 09:30,SQUEEZE_POP,NR7,12.723,403.1,0.0431,-0.271,2.468,2.899,0.963,1.045,401.6917,0.35,2.374,0.0181,-0.0047,0.0,0.065,0.206,True,True,True,True,False,False,False,False,False,False,UNKNOWN
STT,2026-04-21 09:30,STT|2026-04-21 09:30,SQUEEZE_POP,NR7,12.596,154.84,0.7387,0.2653,0.371,1.105,1.258,1.379,153.83,0.66,5.671,0.0452,0.029,0.0,0.235,0.765,True,True,True,True,False,False,False,False,False,False,UNKNOWN
EWBC,2026-04-21 09:30,EWBC|2026-04-21 09:30,SQUEEZE_POP,NR7,12.187,119.525,0.1502,0.0318,0.348,1.697,1.966,2.157,119.4917,0.03,3.007,0.0088,0.0042,0.0,0.468,0.315,True,True,True,True,False,False,False,False,False,False,UNKNOWN
ATI,2026-04-21 09:30,ATI|2026-04-21 09:30,SQUEEZE_POP,NR7,11.549,163.845,0.264,-0.2945,-3.122,3.057,2.262,2.221,164.5283,-0.42,3.218,-0.0034,-0.0017,0.0,0.716,0.079,True,True,True,False,False,False,False,False,False,False,UNKNOWN
