ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
MU,2026-05-11 10:30,MU|2026-05-11 10:30,SQUEEZE_POP,"VWAP, NR7",13.036,789.615,0.2175,-0.2871,0.423,1.2,1.27,1.508,783.2564,0.81,1.552,0.2078,-0.007,0.1696,0.31,0.669,True,True,True,True,False,False,True,False,False,False,SEMIS
MYRG,2026-05-11 10:30,MYRG|2026-05-11 10:30,STRONG_CONT,1stPB,12.959,448.23,0.4814,0.5585,1.403,1.204,0.819,0.814,443.2058,1.13,1.526,0.0235,0.021,0.0,0.097,0.805,True,True,True,True,False,False,False,False,True,False,UNKNOWN
HWC,2026-05-11 11:00,HWC|2026-05-11 11:00,SQUEEZE_POP,SQ,12.847,68.02,0.116,-0.1626,0.426,3.192,5.917,3.607,68.2855,-0.39,1.102,-0.0307,-0.016,0.0,0.011,0.437,True,True,False,False,False,False,False,False,False,True,UNKNOWN
ASX,2026-05-11 10:30,ASX|2026-05-11 10:30,CONTINUATION,"1stPB, NR7",10.867,34.65,-0.0628,0.0876,0.319,0.871,1.092,1.145,34.4585,0.56,1.531,0.0137,0.0107,0.0,0.224,0.612,True,True,True,True,False,False,False,False,True,False,UNKNOWN
IBKR,2026-05-11 10:30,IBKR|2026-05-11 10:30,BOTH,1stPB,9.345,85.55,0.0196,0.8141,0.918,0.681,0.59,0.762,84.9302,0.73,0.929,-0.0064,0.0124,0.0,0.096,0.135,True,True,True,True,False,False,False,False,True,False,UNKNOWN
S,2026-05-11 10:30,S|2026-05-11 10:30,SQUEEZE_POP,NR7,6.245,16.155,0.0314,-0.7051,-0.848,1.436,1.79,1.094,16.347,-1.17,1.402,-0.0038,-0.0152,0.0,0.061,0.694,True,True,False,False,False,False,False,False,False,False,UNKNOWN
MU,2026-05-11 13:00,MU|2026-05-11 13:00,STRONG_CONT,PMH,14.512,803.46,0.1121,0.7527,0.634,0.813,1.954,1.417,786.3734,2.17,0.485,0.1234,0.0089,0.0995,0.165,0.711,True,True,True,True,False,False,False,True,False,False,SEMIS
ILMN,2026-05-11 13:00,ILMN|2026-05-11 13:00,CONTINUATION,1stPB,13.408,143.59,0.6774,0.08,1.067,0.967,1.417,1.641,142.3982,0.84,0.575,0.0397,0.0164,0.0453,0.082,0.224,True,True,True,True,False,False,False,False,True,False,BIOTECH
DAVE,2026-05-11 12:30,DAVE|2026-05-11 12:30,REVERSAL,"VWAP, SQ",11.826,248.6975,0.3984,0.2247,1.452,1.077,1.687,1.139,245.9622,1.11,1.006,0.0107,0.0005,0.0,0.001,0.941,False,True,False,True,False,False,True,False,False,True,UNKNOWN
NUE,2026-05-11 12:30,NUE|2026-05-11 12:30,CONTINUATION,1stPB,11.777,231.23,0.7382,0.3116,1.458,1.476,1.212,0.761,229.6484,0.69,0.709,0.004,0.0064,0.0,0.058,0.077,True,True,True,True,False,False,False,False,True,False,UNKNOWN
NEM,2026-05-11 12:30,NEM|2026-05-11 12:30,CONTINUATION,1stPB,9.999,120.35,0.3087,0.0476,0.679,1.005,1.426,1.022,120.1312,0.18,0.865,0.0207,0.0243,0.0,0.169,0.145,True,True,True,True,False,False,False,False,True,False,UNKNOWN
