ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
MU,2026-04-22 10:00,MU|2026-04-22 10:00,REVERSAL,"ORB, VWAP, PMH",21.119,474.3,0.2889,0.1227,3.73,3.224,1.627,1.243,466.6662,1.64,2.79,0.0483,0.0199,0.0416,0.178,0.72,True,True,True,True,False,True,True,True,False,False,SEMIS
AMD,2026-04-22 10:00,AMD|2026-04-22 10:00,REVERSAL,"ORB, VWAP, PMH",19.915,295.1818,0.423,0.2581,2.689,1.99,1.655,1.196,290.7265,1.53,2.259,0.0662,0.009,0.0595,0.078,0.8,True,True,True,True,False,True,True,True,False,False,SEMIS
PBI,2026-04-22 09:30,PBI|2026-04-22 09:30,SQUEEZE_POP,NR7,17.331,15.12,-0.0288,-0.2708,1.292,2.092,2.737,3.132,15.0467,0.49,2.029,0.1495,0.0182,0.0,0.271,0.562,True,True,True,True,False,False,False,False,False,False,UNKNOWN
RCUS,2026-04-22 10:00,RCUS|2026-04-22 10:00,STRONG_REV,ORB,17.155,28.065,-0.3265,0.5078,-0.334,1.841,5.563,4.37,27.3938,2.45,1.886,0.2158,0.118,0.0,0.489,0.153,True,True,True,True,False,True,False,False,False,False,UNKNOWN
DAVE,2026-04-22 09:30,DAVE|2026-04-22 09:30,SQUEEZE_POP,NR7,13.357,281.65,0.7828,0.0788,0.257,2.407,1.641,1.727,281.1384,0.18,2.023,0.087,0.0081,0.0,0.421,0.233,True,True,True,True,False,False,False,False,False,False,UNKNOWN
MYRG,2026-04-22 09:30,MYRG|2026-04-22 09:30,SQUEEZE_POP,"SQ, NR7",12.608,338.85,0.3194,-0.2047,-1.876,4.626,1.475,1.491,339.4833,-0.19,1.719,0.0214,-0.0004,0.0,0.675,0.03,True,True,True,False,False,False,False,False,False,True,UNKNOWN
AIG,2026-04-22 09:30,AIG|2026-04-22 09:30,SQUEEZE_POP,NR7,12.092,76.0,0.116,0.3518,-0.87,3.613,3.668,3.895,76.25,-0.33,5.189,-0.0387,-0.0211,0.0,0.0,0.648,True,True,False,False,False,False,False,False,False,False,UNKNOWN
COLB,2026-04-22 09:30,COLB|2026-04-22 09:30,STRONG_CONT,NR7,11.584,29.32,0.1514,0.9351,1.667,1.642,1.4,1.421,29.2083,0.38,2.214,-0.0143,0.0007,0.0,0.065,0.052,True,True,False,True,False,False,False,False,False,False,UNKNOWN
NUE,2026-04-22 09:30,NUE|2026-04-22 09:30,SQUEEZE_POP,NR7,11.268,212.115,0.1914,-0.2746,0.755,1.431,1.385,1.347,211.702,0.2,1.691,0.045,0.0048,0.0,0.275,0.369,True,True,True,True,False,False,False,False,False,False,UNKNOWN
XP,2026-04-22 09:30,XP|2026-04-22 09:30,SQUEEZE_POP,NR7,10.882,20.65,0.3698,0.4167,2.502,2.452,0.741,0.79,20.5167,0.65,2.55,-0.0084,-0.0019,0.0,0.0,0.083,True,True,False,True,False,False,False,False,False,False,UNKNOWN
