ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
ABBV,2026-06-04 11:30,ABBV|2026-06-04 11:30,STRONG_REV,"VWAP, BOX",14.458,222.18,-0.397,0.4567,0.546,1.214,2.332,1.456,221.6977,0.22,1.309,0.041,-0.0068,0,0.387,0.516,True,True,True,True,True,False,True,False,False,False,UNKNOWN
CNC,2026-06-04 11:30,CNC|2026-06-04 11:30,CONTINUATION,1stPB,13.45,62.85,0.4374,-0.3177,0.01,1.275,2.235,1.806,62.8176,0.05,0.604,0.0574,0.0256,0,0.128,0.282,True,True,True,True,False,False,False,False,True,False,UNKNOWN
NVTS,2026-06-04 11:30,NVTS|2026-06-04 11:30,CONTINUATION,1stPB,11.231,30.435,0.0996,0.2595,0.328,0.354,0.814,1.143,29.6024,2.81,0.58,0.1867,0.0542,0,0.117,0.411,True,True,True,True,False,False,False,False,True,False,UNKNOWN
JAZZ,2026-06-04 14:00,JAZZ|2026-06-04 14:00,CONTINUATION,1stPB,14.356,238.71,0.345,0.3505,-0.102,1.751,2.9,1.702,235.8527,1.21,0.643,0.0401,0.0111,0,0.464,0.423,True,True,True,True,False,False,False,False,True,False,UNKNOWN
STT,2026-06-04 13:30,STT|2026-06-04 13:30,CONTINUATION,1stPB,12.207,163.66,0.1144,0.0692,1.086,1.055,1.369,1.228,162.4617,0.74,0.859,0.0445,0.0255,0,0.037,0.648,True,True,True,True,False,False,False,False,True,False,UNKNOWN
BAC,2026-06-04 13:30,BAC|2026-06-04 13:30,CONTINUATION,1stPB,10.04,53.915,0.5276,-0.0691,0.524,0.731,1.383,1.317,53.7034,0.39,0.581,0.0553,0.0046,0,0.069,0.106,True,True,True,True,False,False,False,False,True,False,UNKNOWN
