ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
DELL,2026-05-06 10:30,DELL|2026-05-06 10:30,BOTH,"ORB, VWAP, PMH, HH, BOX",23.705,228.1,-0.0249,0.4056,3.696,2.355,2.565,1.773,223.703,1.97,2.703,0.0523,0.0307,0,0.104,0.896,True,True,True,True,True,True,True,True,False,False,UNKNOWN
JAZZ,2026-05-06 10:30,JAZZ|2026-05-06 10:30,CONTINUATION,"VWAP, PMH",19.58,227.83,0.533,0.4041,1.939,1.851,5.503,4.678,225.739,0.93,1.794,0.0697,-0.0026,0,0.121,0.579,True,True,True,True,False,False,True,True,False,False,UNKNOWN
FUTU,2026-05-06 10:00,FUTU|2026-05-06 10:00,CONTINUATION,"ORB, VWAP, PMH",17.111,163.31,0.2727,-0.0546,1.477,1.954,1.572,1.667,162.5207,0.49,1.617,0.0208,0.0099,0,0.216,0.784,True,True,True,True,False,True,True,True,False,False,UNKNOWN
CTRI,2026-05-06 10:30,CTRI|2026-05-06 10:30,REVERSAL,"VWAP, PMH, NR7",17.045,42.2,-0.0774,0.2205,0.971,1.128,2.052,2.618,41.8874,0.75,1.236,0.0495,-0.018,0,0.067,0.84,True,True,True,True,False,False,True,True,False,False,UNKNOWN
STRL,2026-05-06 10:30,STRL|2026-05-06 10:30,CONTINUATION,"VWAP, PMH, NR7",15.717,843.9509,0.1588,0.0043,0.356,0.404,1.432,2.42,836.1918,0.93,1.487,0.5333,0.0334,0,0.038,0.848,True,True,True,True,False,False,True,True,False,False,UNKNOWN
RELY,2026-05-06 10:30,RELY|2026-05-06 10:30,STRONG_CONT,PMH,15.615,24.025,0.3133,0.6111,1.961,1.884,2.866,1.994,23.8818,0.6,1.136,-0.0189,0.0058,0,0.125,0.35,True,True,True,True,False,False,False,True,False,False,UNKNOWN
COLB,2026-05-06 10:30,COLB|2026-05-06 10:30,REVERSAL,"VWAP, PMH, BOX, NR7",15.479,30.345,0.0213,0.1302,1.529,1.297,1.56,1.172,30.2305,0.38,1.861,0.0153,0.0057,0,0.098,0.574,True,True,True,True,True,False,True,True,False,False,UNKNOWN
STT,2026-05-06 10:30,STT|2026-05-06 10:30,SQUEEZE_POP,"VWAP, BOX, NR7",13.43,151.605,-0.3015,0.0,1.855,1.576,1.792,0.852,150.9221,0.45,1.756,-0.0021,0.0046,0,0.0,0.875,True,True,True,True,True,False,True,False,False,False,UNKNOWN
CNC,2026-05-06 10:30,CNC|2026-05-06 10:30,REVERSAL,"ORB, HH",11.35,54.26,-0.3573,0.2212,1.608,1.484,0.943,0.658,53.5228,1.38,2.115,-0.0182,0.0294,0,0.154,0.846,True,True,False,True,True,True,False,False,False,False,UNKNOWN
ON,2026-05-06 10:30,ON|2026-05-06 10:30,REVERSAL,VWAP,10.791,102.03,0.5695,0.1851,1.147,1.314,1.987,1.609,101.6404,0.38,0.871,-0.0363,-0.0081,0,0.088,0.674,True,True,False,True,False,False,True,False,False,False,UNKNOWN
ASX,2026-05-06 10:30,ASX|2026-05-06 10:30,SQUEEZE_POP,"VWAP, NR7",9.959,33.7101,0.5263,-0.1032,0.795,0.887,1.123,1.184,33.4455,0.79,2.393,0.0167,0.013,0,0.148,0.79,True,True,False,True,False,False,True,False,False,False,UNKNOWN
S,2026-05-06 10:30,S|2026-05-06 10:30,SQUEEZE_POP,NR7,8.455,15.255,-0.8561,-0.1067,0.448,0.783,1.388,2.093,15.2412,0.09,1.235,-0.0378,-0.0286,0,0.209,0.558,True,True,False,True,False,False,False,False,False,False,UNKNOWN
CLS,2026-05-06 10:00,CLS|2026-05-06 10:00,SQUEEZE_POP,SQ,7.876,398.715,0.1885,-0.6501,-3.595,2.58,1.397,1.134,410.7257,-2.92,2.332,-0.0824,-0.0666,0,0.049,0.92,True,True,False,False,False,False,False,False,False,True,UNKNOWN
FUTU,2026-05-06 12:00,FUTU|2026-05-06 12:00,CONTINUATION,"HH, BOX",19.517,167.9,0.3816,0.3602,2.824,2.046,3.393,1.725,164.005,2.37,2.456,0.0423,0.0327,0.0,0.001,0.942,True,True,True,True,True,False,False,False,False,False,UNKNOWN
LUMN,2026-05-06 12:30,LUMN|2026-05-06 12:30,BOTH,1stPB,15.357,9.345,-0.6373,0.9565,0.901,0.921,2.934,3.357,9.1701,1.91,0.787,-0.0035,0.0533,0.0,0.043,0.761,True,True,False,True,False,False,False,False,True,False,UNKNOWN
