ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
CPRX,2026-05-19 11:30,CPRX|2026-05-19 11:30,STRONG_CONT,NR7,16.309,31.205,0.1323,0.9318,2.56,2.143,2.749,1.289,31.1971,0.03,5.703,0.0148,0.0042,0,0.023,0.045,True,True,False,True,False,False,False,False,False,False,UNKNOWN
JAZZ,2026-05-19 11:30,JAZZ|2026-05-19 11:30,CONTINUATION,1stPB,10.108,236.405,0.1352,-0.0538,0.689,0.999,1.159,0.917,234.8674,0.65,1.172,0.0473,0.0135,0,0.389,0.292,True,True,True,True,False,False,False,False,True,False,UNKNOWN
MYRG,2026-05-19 13:00,MYRG|2026-05-19 13:00,STRONG_CONT,"ORB, PMH",13.521,445.15,0.2855,0.9418,0.988,1.203,1.898,1.47,433.9781,2.57,0.996,-0.0075,0.0015,0,0.058,0.849,True,True,False,True,False,True,False,True,False,False,UNKNOWN
